Event_Name,Event_Type,Department,Rating,Feedback_Comment
Hackathon,Workshop,EEE,1,Poor time management
Cyber Security Talk,Technical,Management,2,Poor time management
AI Workshop,Workshop,EEE,1,Poor time management
Tech Fest,Workshop,Management,5,Highly engaging and interactive session
Leadership Workshop,Cultural,CSE,2,Not well organized
Career Seminar,Cultural,ECE,2,Not well organized
AI Workshop,Technical,Management,2,Too long and boring
Career Seminar,Cultural,CSE,1,Too long and boring
AI Workshop,Seminar,IT,4,Highly engaging and interactive session
Leadership Workshop,Cultural,EEE,5,Learned a lot from this event
Cultural Night,Cultural,IT,1,Poor time management
Robotics Expo,Cultural,Arts,2,Poor time management
Career Seminar,Cultural,EEE,3,"Average experience, could be better"
Leadership Workshop,Workshop,EEE,3,It was okay overall
Robotics Expo,Cultural,EEE,2,Not well organized
Cultural Night,Technical,Civil,3,It was okay overall
AI Workshop,Workshop,Civil,4,Learned a lot from this event
Robotics Expo,Seminar,ECE,2,Not well organized
Cultural Night,Cultural,Management,3,"Average experience, could be better"
Career Seminar,Workshop,ECE,5,Excellent arrangements and content
AI Workshop,Technical,IT,5,Excellent arrangements and content
Robotics Expo,Technical,Management,2,Sound system was bad
Startup Meetup,Cultural,CSE,4,Highly engaging and interactive session
Hackathon,Cultural,IT,1,Expected more from this event
Data Science Bootcamp,Seminar,CSE,3,Decent event
Data Science Bootcamp,Technical,Mechanical,3,Neither good nor bad
Cultural Night,Workshop,Civil,5,Highly engaging and interactive session
Cyber Security Talk,Technical,Civil,2,Expected more from this event
AI Workshop,Cultural,Mechanical,4,Very informative and well organized
Cultural Night,Technical,IT,2,Poor time management
Cyber Security Talk,Workshop,ECE,4,Very informative and well organized
Data Science Bootcamp,Cultural,Management,4,Highly engaging and interactive session
Cultural Night,Cultural,Management,2,Expected more from this event
Cyber Security Talk,Seminar,IT,3,Decent event
AI Workshop,Cultural,CSE,2,Sound system was bad
Cultural Night,Workshop,CSE,5,Highly engaging and interactive session
Cultural Night,Technical,CSE,1,Poor time management
Cyber Security Talk,Workshop,Mechanical,3,It was okay overall
Cyber Security Talk,Workshop,Arts,4,Amazing experience and great speakers
Robotics Expo,Workshop,IT,2,Not well organized
Career Seminar,Seminar,Management,1,Not well organized
AI Workshop,Technical,Management,4,Very informative and well organized
Cultural Night,Workshop,EEE,3,It was okay overall
Data Science Bootcamp,Seminar,ECE,5,Excellent arrangements and content
Cultural Night,Technical,Arts,3,Decent event
Tech Fest,Technical,IT,5,Very informative and well organized
Robotics Expo,Seminar,Arts,2,Sound system was bad
Tech Fest,Workshop,Management,2,Not well organized
Hackathon,Seminar,Mechanical,1,Not well organized
Startup Meetup,Workshop,EEE,4,Highly engaging and interactive session
Tech Fest,Technical,Civil,3,"Average experience, could be better"
Leadership Workshop,Seminar,ECE,1,Poor time management
AI Workshop,Workshop,IT,1,Expected more from this event
Cultural Night,Seminar,IT,5,Very informative and well organized
Leadership Workshop,Technical,IT,5,Amazing experience and great speakers
Leadership Workshop,Cultural,Mechanical,4,Highly engaging and interactive session
Cultural Night,Cultural,Management,2,Too long and boring
Startup Meetup,Cultural,IT,2,Too long and boring
Leadership Workshop,Technical,IT,1,Not well organized
Cyber Security Talk,Cultural,ECE,5,Amazing experience and great speakers
